Timestamp;tempGasB2;tempAmb;tempGas;umidGasB2;TempSoloB2;umidGas;falhaSensor;tempSubst;umidAmb;falhaSensorB2;VolumeTotalB2;decDeBiogasB2;decDeBiogas;volumeTotal;tempSubstB2;tempSolo
28-12-21 13:05:24;998.00;28.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;61.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 13:20:25;998.00;28.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;62.20;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 01:28:23;998.00;16.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;98.50;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 23:35:24;998.00;16.50;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.88;99.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 19:05:24;998.00;18.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.62;90.10;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 04:13:23;998.00;15.30;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.80;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 11:28:25;998.00;29.50;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;60.90;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 12:35:25;998.00;32.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;52.80;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 03:43:22;998.00;15.50;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.90;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 20:05:25;998.00;17.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.75;92.80;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 22:05:26;998.00;16.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.88;98.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 11:13:25;998.00;29.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;62.40;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 20:50:27;998.00;16.90;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.81;97.60;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
